,sazonalidade,variabilidade,producao_diaria
2023-01-01 00:00:00,1.2672133561558347,24.967586328915008,31.639258866974924
2023-01-01 01:00:00,1.2672133561558347,40.616329972895215,51.46955581968537
2023-01-01 02:00:00,1.2672133561558347,38.55074825350603,48.85202307664406
2023-01-01 03:00:00,1.2672133561558347,67.78665639004164,85.90015634660703
2023-01-01 04:00:00,1.2672133561558347,13.38955910453782,16.967428130308285
2023-01-01 05:00:00,1.2672133561558347,44.437726675082374,56.312080759866795
2023-01-01 06:00:00,1.2672133561558347,23.173228561268857,29.365424738091754
2023-01-01 07:00:00,1.2672133561558347,19.880645760819963,25.193019837113933
2023-01-01 08:00:00,1.2672133561558347,53.24408023448224,67.47160960936878
2023-01-01 09:00:00,1.2672133561558347,53.61858508124453,67.94618715313105
2023-01-01 10:00:00,1.2672133561558347,61.46622407832125,77.89082010451605
2023-01-01 11:00:00,1.2672133561558347,44.054749971687016,55.82676756622767
2023-01-01 12:00:00,1.2672133561558347,33.607049351295586,42.58730179895005
2023-01-01 13:00:00,1.2672133561558347,26.841987733219288,34.01452536130656
2023-01-01 14:00:00,1.2672133561558347,41.898555684525505,53.094409367069694
2023-01-01 15:00:00,1.2672133561558347,18.548086238936783,23.504382613110934
2023-01-01 16:00:00,1.2672133561558347,34.800815984167286,44.10005882025825
2023-01-01 17:00:00,1.2672133561558347,20.923558456991994,26.514612735007624
2023-01-01 18:00:00,1.2672133561558347,50.40269933487973,63.8709737834664
2023-01-01 19:00:00,1.2672133561558347,48.889525027027446,61.95345909036413
2023-01-01 20:00:00,1.2672133561558347,48.994949760374126,62.08705472053021
2023-01-01 21:00:00,1.2672133561558347,16.34434808286802,20.711776188270367
2023-01-01 22:00:00,1.2672133561558347,67.6798218833679,85.76477423285174
2023-01-01 23:00:00,1.2672133561558347,34.70844776134753,43.98300857461667
2023-01-02 00:00:00,1.2844216116227458,9.684856324039835,12.439438768057986
2023-01-02 01:00:00,1.2844216116227458,57.90714137376165,74.37718384775312
2023-01-02 02:00:00,1.2844216116227458,29.271076619813233,37.59640340595339
2023-01-02 03:00:00,1.2844216116227458,35.826559185836786,46.01640688837017
2023-01-02 04:00:00,1.2844216116227458,48.66094311155206,62.501166974422446
2023-01-02 05:00:00,1.2844216116227458,65.41241698731947,84.01712204699196
2023-01-02 06:00:00,1.2844216116227458,42.477169201665575,54.55859412317536
2023-01-02 07:00:00,1.2844216116227458,17.576752365627343,22.575960600552982
2023-01-02 08:00:00,1.2844216116227458,28.362782147295672,36.42977035573435
2023-01-02 09:00:00,1.2844216116227458,28.98439460442699,37.22818282972773
2023-01-02 10:00:00,1.2844216116227458,61.47205330082487,78.95603377040482
2023-01-02 11:00:00,1.2844216116227458,64.71719185797784,83.12415986592234
2023-01-02 12:00:00,1.2844216116227458,47.851498741180535,61.461499131710895
2023-01-02 13:00:00,1.2844216116227458,7.516504564797286,9.654360906886655
